ID	X	Y
1	294	311
2	294	314
3	293	314
4	293	307
5	293	308
6	292	312
7	292	314
8	292	320
9	290	316
10	290	317
11	290	305
12	290	307
13	290	313
14	289	308
15	289	320
16	289	322
17	288	306
18	288	305
19	288	321
20	288	322
21	288	325
22	287	323
23	287	301
24	287	322
25	286	324
26	286	303
27	286	323
28	285	303
29	285	301
30	285	325
31	284	300
32	284	324
33	284	299
34	283	299
35	283	296
36	283	327
37	282	327
38	282	296
39	281	327
40	281	293
41	281	328
42	280	298
43	280	296
44	279	329
45	279	293
46	278	296
47	278	331
48	278	291
49	277	290
50	277	332
51	276	293
52	276	292
53	275	331
54	274	331
55	274	290
56	274	289
57	273	292
58	273	331
59	272	333
60	271	291
61	271	290
62	271	288
63	271	331
64	270	334
65	269	333
66	268	336
67	268	289
68	268	290
69	268	335
70	267	290
71	266	290
72	266	337
73	266	334
74	265	336
75	265	337
76	264	290
77	264	335
78	263	291
79	263	336
80	262	292
81	261	290
82	261	338
83	260	294
84	259	339
85	259	293
86	259	336
87	259	338
88	258	290
89	258	338
90	257	339
91	256	340
92	255	340
93	255	295
94	255	294
95	254	342
96	254	293
97	254	339
98	252	342
99	252	294
100	252	341
101	252	340
102	251	342
103	251	296
104	251	338
105	249	294
106	249	342
107	249	340
108	248	342
109	248	296
110	248	295
111	247	342
112	246	342
113	246	344
114	246	299
115	245	295
116	245	342
117	244	343
118	243	297
119	243	295
120	242	343
121	242	342
122	240	300
123	240	295
124	239	343
125	239	302
126	239	296
127	239	342
128	236	343
129	236	303
130	236	298
131	234	343
132	233	345
133	233	298
134	232	302
135	232	298
136	231	345
137	231	302
138	231	343
139	230	344
140	230	299
141	230	343
142	228	299
143	227	344
144	227	304
145	227	343
146	226	298
147	226	344
148	226	343
149	224	343
150	224	299
151	224	344
152	222	302
153	221	343
154	221	302
155	221	299
156	219	299
157	218	344
158	218	302
159	218	343
160	216	342
161	216	302
162	216	299
163	215	343
164	214	298
165	213	342
166	213	343
167	211	301
168	211	343
169	210	344
170	210	298
171	209	298
172	208	301
173	208	298
174	208	343
175	206	343
176	206	297
177	205	341
178	204	343
179	203	299
180	203	295
181	203	341
182	202	342
183	202	299
184	202	340
185	201	295
186	199	295
187	199	339
188	198	341
189	197	341
190	197	298
191	196	341
192	196	295
193	196	339
194	195	339
195	195	296
196	195	297
197	195	295
198	194	294
199	193	339
200	192	339
201	192	294
202	191	295
203	191	294
204	191	338
205	191	339
206	190	339
207	189	294
208	189	339
209	188	295
210	187	295
211	187	293
212	186	338
213	185	292
214	184	336
215	183	295
216	183	336
217	182	295
218	181	336
219	179	336
220	179	295
221	179	292
222	179	334
223	178	292
224	177	335
225	177	296
226	177	292
227	177	334
228	176	334
229	176	293
230	176	292
231	175	298
232	175	333
233	174	332
234	173	332
235	173	300
236	173	294
237	172	297
238	172	330
239	171	332
240	171	299
241	171	330
242	170	304
243	170	300
244	170	303
245	169	331
246	168	308
247	168	304
248	168	329
249	167	331
250	167	330
251	167	303
252	167	328
253	166	328
254	166	311
255	166	307
256	165	326
257	165	313
258	164	325
259	164	317
260	164	314
261	164	308
262	164	327
263	163	318
264	163	311
265	162	323
266	162	325
267	161	321
268	161	320
269	161	312
270	161	315
271	160	318
272	160	319
273	159	315
274	253	293
275	254	292
276	258	292
277	259	292
278	261	291
279	262	290
280	265	289
281	251	295
282	249	295
283	247	295
284	253	294
285	267	289
286	169	281
287	170	284
288	167	288
289	167	290
290	167	293
291	164	295
292	162	297
293	158	301
294	157	303
295	155	304
296	152	305
297	150	305
298	146	308
299	143	307
300	141	307
301	137	305
302	135	303
303	133	302
304	131	298
305	130	296
306	128	295
307	126	292
308	125	290
309	124	289
310	120	284
311	119	284
312	119	282
313	117	278
314	114	275
315	112	273
316	109	270
317	107	265
318	105	263
319	104	259
320	103	257
321	101	253
322	101	250
323	101	247
324	101	243
325	101	238
326	100	231
327	98	233
328	98	237
329	99	242
330	103	228
331	105	228
332	108	227
333	109	226
334	113	224
335	115	225
336	117	224
337	119	223
338	123	222
339	124	222
340	130	222
341	132	224
342	136	227
343	137	228
344	139	230
345	139	231
346	141	234
347	141	236
348	143	239
349	143	241
350	143	242
351	144	246
352	146	249
353	147	251
354	148	254
355	150	258
356	153	262
357	151	260
358	154	264
359	158	268
360	160	271
361	161	272
362	163	274
363	165	277
364	169	279
365	102	223
366	105	223
367	107	223
368	109	223
369	110	223
370	111	223
371	113	222
372	116	222
373	117	222
374	118	222
375	120	221
376	121	221
377	123	221
378	125	221
379	125	220
380	127	220
381	129	220
382	131	221
383	132	221
384	134	221
385	136	223
386	137	224
387	138	225
388	139	228
389	141	230
390	142	233
391	142	234
392	144	237
393	145	240
394	145	242
395	145	244
396	146	247
397	148	249
398	148	252
399	149	254
400	150	256
401	152	259
402	153	259
403	154	262
404	155	265
405	156	265
406	157	265
407	159	268
408	160	269
409	162	272
410	164	274
411	165	275
412	166	277
413	167	279
414	168	283
415	168	284
416	169	287
417	165	292
418	164	293
419	162	295
420	161	298
421	160	298
422	162	299
423	159	300
424	158	302
425	160	303
426	157	304
427	157	306
428	155	306
429	152	307
430	152	308
431	152	309
432	154	310
433	149	308
434	149	310
435	144	309
436	144	308
437	143	308
438	141	306
439	140	306
440	139	306
441	137	304
442	134	303
443	130	300
444	127	297
445	101	224
446	98	227
447	98	229
448	99	232
449	99	233
450	98	236
451	95	233
452	99	237
453	95	228
454	98	230
455	97	237
456	96	238
457	100	227
458	95	241
459	97	241
460	97	242
461	98	244
462	98	245
463	98	246
464	100	247
465	101	249
466	101	251
467	102	253
468	104	257
469	104	258
470	105	262
471	106	262
472	107	264
473	108	265
474	110	268
475	110	269
476	111	271
477	113	276
478	114	277
479	115	280
480	116	281
481	118	284
482	119	286
483	120	289
484	122	290
