ID	X	Y
1	11.25	5.05
2	10.95	4.7
3	9.85	5.8
4	9.8	5.75
5	9.15	6.8
6	8.65	6.6
7	8.4	7.5
8	7.9	7.75
9	6.95	8.7
10	7.25	9.75
11	7.3	10.25
12	5.9	10.7
13	5.85	11.8
14	6.45	12.05
15	5.7	12.95
16	5.35	13.45
17	5.4	14.65
18	4.7	14.85
19	5.4	15.4
20	5.1	16.25
21	5.75	16.7
22	4.85	17.65
23	5	18
24	6.05	18
25	5.7	19.45
26	5.3	19.55
27	5.85	21.25
28	6.1	21.35
29	6.55	22.15
30	5.9	22.8
31	7.15	23.7
32	6.75	24.25
33	7.95	24.65
34	7.75	25.3
35	8.8	26.05
36	8.85	26.95
37	9.35	27.45
38	9.95	27.1
39	11.25	28.2
40	10.7	28.55
41	11.95	29.45
42	11.95	28.65
43	13.1	30.05
44	13.4	29.3
45	14.7	30.2
46	14.7	30.6
47	16.1	30.4
48	16.1	31.05
49	17.55	30.8
50	17.65	31.75
51	18.55	31.6
52	18.85	30.6
53	19.85	30.9
54	20.1	31.3
55	21.5	31.35
56	20.85	30.4
57	22.95	30.05
58	23.4	30.3
59	24.2	29.9
60	24.75	30
61	25.55	29.3
62	25.55	28.45
63	26.7	28.3
64	26.85	28.75
65	27.6	27.15
66	28.25	27.4
67	29.05	27
68	29.05	26.2
69	29.45	25.55
70	30.05	25.55
71	30.3	23.3
72	30.6	23.95
73	30.9	22.75
74	31	22.3
75	30.65	21.3
76	31.3	20.8
77	31.85	21.2
78	31.45	19.3
79	32.7	19.3
80	31.9	17.9
81	33.05	18.05
82	32.8	16.6
83	32.2	16.3
84	32.4	15.15
85	31.8	14.75
86	32.35	13.25
87	31.65	13.35
88	31.15	12.05
89	32	11.9
90	31.05	10.3
91	31.95	10.4
92	30.05	9.55
93	30.5	8.25
94	29.6	8.25
95	29.8	7.6
96	29	7.05
97	29	6.7
98	27.6	5.95
99	28.15	5.45
100	26.5	4.8
101	26.4	4.4
102	25.8	3.65
103	25.5	4.1
104	31.6	16.6
105	30.7	17.4
106	29.65	17.95
107	29.15	16.5
108	30.5	15.55
109	12.45	9.15
110	10.1	10.05
111	11.75	12.2
112	9.55	12.4
113	8.65	13.35
114	7.75	13.55
115	8.55	15.15
116	8.05	15.9
117	8.45	15.9
118	8.6	16.85
119	9	17.05
120	9	16.3
121	9.35	16.3
122	9.55	15.3
123	9.65	14.85
124	10.15	15.05
125	10.05	15.6
126	10.4	16
127	10.65	16
128	10.9	15.95
129	10.7	15.35
130	11.35	15.05
131	11.15	14.75
132	11.05	14.6
133	11.15	14.2
134	11.1	13.6
135	12.5	13
136	13.3	12.45
137	13.5	12.4
138	13.95	11.75
139	14.4	12.2
140	15.4	12.2
141	15.25	12.45
142	14.6	12.75
143	14.1	13.05
144	14.2	13.25
145	14.75	13.45
146	13.15	13.4
147	13.05	13.7
148	12.65	13.65
149	15.45	13.75
150	14.65	14.2
151	13.75	14.05
152	13.75	14.5
153	12.95	14.8
154	13.2	14.9
155	13.25	15.5
156	12.1	15.35
157	12.15	15.5
158	11.25	16.4
159	12.7	15.6
160	12.5	16.15
161	12.7	16.6
162	12.15	16.2
163	11.95	16.5
164	11.45	16.8
165	11.05	17.2
166	11.3	17.6
167	11.65	17.6
168	11.25	18.25
169	11.05	18.45
170	11.05	18.55
171	10.55	18.55
172	10.8	19.2
173	7.45	19
174	10.05	20.1
175	9.95	20.5
176	10.65	20.45
177	10.3	22.75
178	11.7	19.6
179	12.2	19.65
180	13.2	20.1
181	13.55	20.05
182	14.15	20.05
183	14.25	21.5
184	13.25	21.4
185	12.85	18.1
186	13.75	18.3
187	14.2	18.35
188	14.25	18.8
189	13.75	16
190	13.75	16.7
191	13.75	17.05
192	14.05	16.8
193	14.5	16.95
194	14.75	16.65
195	15.25	16.05
196	15.4	16.2
197	15.85	16.2
198	15.5	15.55
199	15	14.95
200	16.6	16.15
201	17.9	15.6
202	17.5	18.05
203	16.65	17.5
204	15.45	17.3
205	15.45	17.8
206	15.7	18.4
207	29.95	13.55
208	30	11.85
209	28.65	14.1
210	27.45	10.85
211	26.4	10.75
212	25.05	10.1
213	26.2	11.55
214	27.2	13.3
215	28.3	14.45
216	27.95	14.65
217	27.95	14.7
218	23.15	11
219	22.9	11.6
220	23.9	11.6
221	24.55	11.6
222	23.85	12.45
223	23.35	13.1
224	24.85	13.2
225	25.1	12.25
226	25.15	12.5
227	25.65	12.9
228	25.7	13.5
229	26.3	13.3
230	27.1	14.55
231	27.15	14.6
232	26.4	14.35
233	26.4	14.35
234	25.75	14.55
235	25.75	14.9
236	25.35	14.65
237	23.7	14.55
238	24.05	14.9
239	23.65	15.3
240	22.75	14.5
241	22	14
242	20.9	12.95
243	20.3	13.1
244	22.2	16.45
245	22.15	16.65
246	22.4	15.15
247	22.15	15.2
248	23.95	15.95
249	24.25	16.1
250	24.8	16.1
251	25.15	16.15
252	25.5	16.7
253	25.75	16.85
254	26.2	16.85
255	26.25	16.9
256	26.25	16.35
257	26.75	16.2
258	27.4	16.15
259	27.6	16.85
260	26.95	17.2
261	26.3	18.1
262	27.55	17.95
263	27.7	17.6
264	28.25	18.25
265	28.8	19.15
266	28.5	19.15
267	28.1	19.35
268	28.05	20.3
269	27.3	20.5
270	27.1	21.6
271	26.75	19.5
272	26.5	20
273	25.9	19.8
274	25.1	19.8
275	24.75	20.7
276	24.35	20.55
277	23.55	20.35
278	24.3	19.7
279	24.9	19
280	24.7	16.8
281	24.35	16.8
282	24.4	17.15
283	24.9	17.3
284	24.35	17.7
285	24.95	17.8
286	24.95	18.05
287	24.4	18.35
288	23.65	18.6
289	22.85	18.9
290	22.4	20.65
291	22.5	17.8
292	22.45	18.25
293	21.6	17.7
294	21.35	18.05
295	21.3	18.25
296	19.95	19.8
297	20.45	20.45
298	20.35	16.95
299	19.7	17.45
300	19.35	17.45
301	5.934	30.27
302	5.261	30.27
303	4.251	30.27
304	3.241	29.259
305	4.588	30.606
306	6.271	30.606
307	4.251	30.606
308	3.577	29.933
309	3.241	27.576
310	2.904	28.586
311	2.231	27.239
312	2.567	26.566
313	2.904	26.229
314	4.588	25.556
315	5.598	25.556
316	3.914	25.556
317	2.904	26.903
318	2.567	28.249
319	2.567	29.596
320	3.577	30.606
321	5.598	31.28
322	6.271	30.943
323	4.924	30.943
324	4.251	30.943
325	2.904	29.933
326	2.904	28.249
327	2.904	26.566
328	4.251	26.229
329	4.924	25.556
330	5.598	25.556
331	4.588	25.219
332	3.577	26.566
333	5.598	25.219
334	3.241	26.229
335	5.598	26.229
336	6.271	26.903
337	7.281	27.239
338	6.944	26.566
339	6.608	26.229
340	5.598	25.892
341	2.567	27.913
342	2.231	28.923
343	3.241	30.27
344	3.241	31.28
345	5.261	31.953
346	5.934	31.616
347	4.588	31.616
348	3.577	31.616
349	3.241	30.943
350	2.567	30.606
351	2.567	29.259
352	2.567	27.239
353	1.894	28.586
354	2.231	29.596
355	6.271	25.556
356	6.271	26.229
357	5.261	26.566
358	2.231	27.913
359	1.894	29.933
360	2.567	30.943
361	1.894	29.259
362	4.924	26.229
363	1.894	27.576
364	1.557	28.586
365	1.557	29.259
366	1.557	29.596
367	1.894	30.606
368	1.557	27.913
369	3.914	25.556
370	4.251	25.892
371	3.241	25.892
372	2.231	26.229
373	2.231	26.566
374	1.557	27.239
375	1.557	27.913
376	1.894	26.903
377	2.567	25.892
378	3.241	25.556
379	3.914	25.219
380	6.608	28.923
381	6.944	29.596
382	7.618	30.606
383	7.955	30.943
384	7.281	28.923
385	7.281	29.933
386	7.618	30.27
387	7.955	30.606
388	7.955	31.953
389	7.955	32.29
390	7.618	32.963
391	6.944	33.637
392	5.934	33.973
393	4.251	33.973
394	2.231	33.973
395	1.557	33.3
396	0.884	32.626
397	0.547	31.953
398	0.21	31.28
399	-0.463	30.27
400	-0.463	28.923
401	-0.126	27.576
402	0.547	26.566
403	1.557	25.219
404	2.904	24.546
405	2.231	24.882
406	1.557	25.556
407	0.884	25.892
408	0.21	27.239
409	-0.463	28.249
410	-0.463	28.923
411	-0.463	29.596
412	-0.463	30.606
413	0.21	31.953
414	0.884	32.963
415	1.221	33.637
416	2.231	33.973
417	3.577	34.31
418	3.914	34.31
419	4.588	34.31
420	5.261	34.31
421	6.271	34.31
422	7.281	33.637
423	7.618	33.3
424	7.955	32.626
425	7.955	32.29
426	8.291	31.616
427	7.281	29.596
428	7.618	29.596
429	8.291	30.606
430	8.628	31.616
431	7.955	29.933
432	8.628	30.27
433	8.965	30.943
434	8.628	30.943
435	8.291	29.259
436	8.291	29.933
437	8.628	32.29
438	8.628	32.963
439	7.955	34.31
440	8.291	33.3
441	7.955	33.973
442	7.955	33.3
443	8.291	32.963
444	7.618	34.647
445	7.281	34.647
446	6.608	34.647
447	6.944	34.31
448	7.618	33.973
449	5.261	34.647
450	6.271	34.983
451	6.608	34.983
452	5.261	35.32
453	4.251	35.32
454	2.904	34.983
455	3.914	34.983
456	4.251	34.983
457	5.598	34.983
458	2.567	34.983
459	1.557	34.31
460	2.231	33.973
461	2.567	33.973
462	3.577	33.973
463	2.904	34.647
464	2.567	34.647
465	2.231	34.31
466	1.557	34.31
467	4.588	34.647
468	3.241	34.983
469	0.884	34.983
470	0.21	34.31
471	-0.463	33.3
472	-0.8	32.29
473	-1.136	31.616
474	-1.473	30.606
475	-1.473	28.923
476	-1.473	27.576
477	3.577	24.546
478	4.588	24.209
479	5.598	24.209
480	4.588	24.209
481	3.577	24.209
482	3.241	24.209
483	1.221	24.882
484	0.21	25.892
485	-0.463	26.229
486	-0.463	27.913
487	-0.8	28.586
488	-0.8	30.606
489	-0.8	31.616
490	-0.463	31.953
491	0.21	32.626
492	0.547	33.637
493	-0.126	32.29
494	-0.126	33.3
495	1.221	34.647
496	2.567	35.32
497	1.894	35.32
498	2.904	35.657
499	3.577	35.657
500	4.251	35.657
501	4.924	35.657
502	5.598	35.657
503	6.608	35.32
504	2.231	24.546
505	1.557	24.546
506	0.21	25.556
507	0.884	25.219
508	-0.126	25.892
509	-0.126	27.239
510	-0.463	26.903
511	0.21	26.566
512	-1.473	27.239
513	-1.136	27.913
514	-1.136	28.249
515	-1.81	28.586
516	-1.473	29.596
517	-1.136	29.596
518	-1.136	28.249
519	-0.126	27.576
520	-0.126	26.903
521	0.547	25.892
522	-0.8	26.903
523	-1.136	27.576
524	-0.126	27.576
525	-0.8	29.596
526	-0.8	30.606
527	-0.463	31.28
528	-0.126	30.606
529	-1.136	30.27
530	-1.136	28.923
531	-0.463	27.576
532	0.884	25.219
533	-0.463	27.239
534	-1.473	28.249
535	-1.473	30.27
536	-0.463	31.28
537	5.598	24.209
538	4.251	24.209
539	1.894	25.219
540	0.884	25.219
541	-0.463	27.239
542	-0.8	28.923
543	-1.136	29.933
544	-0.463	31.28
545	0.21	33.3
546	0.884	34.31
547	-0.126	33.973
548	-0.463	32.963
549	-0.463	31.953
