ID	X	Y
1	5.496158246	6.077755889
2	5.543447527	5.670444831
3	6.341611002	5.579184592
4	4.948577213	5.664866051
5	5.421842216	5.679149586
6	5.775900837	5.606831887
7	6.226217315	5.354830899
8	5.646873073	5.720137303
9	5.027080707	5.654181281
10	5.466131539	5.897723896
11	5.182971357	5.968898327
12	5.470528316	5.378709341
13	6.054561179	5.613714821
14	4.652460532	5.957033267
15	6.386217884	5.71587973
16	5.878023656	5.627176639
17	5.264917559	5.545860012
18	5.016741024	5.523982678
19	4.750697098	5.886543449
20	5.541920537	5.764268497
21	6.415907496	5.785988759
22	6.333868997	5.530779893
23	6.056369447	5.683596767
24	5.291152104	5.894784614
25	6.649889192	5.882208911
26	6.175172551	5.680320676
27	5.587008639	5.378707995
28	5.149474633	5.818187577
29	5.194691513	5.901170972
30	5.560131202	5.743592771
31	5.504598958	5.793691389
32	4.685737976	6.020486445
33	5.492602309	5.535467172
34	5.285206008	5.57675692
35	5.652459747	5.601696053
36	5.226454923	5.745741977
37	5.699885183	5.813467313
38	6.267365541	5.871350239
39	5.551532208	5.66571604
40	4.766507836	5.70838399
41	5.37728537	5.541478577
42	4.913117329	5.862353104
43	5.491027276	5.674423038
44	5.944261583	5.938419234
45	4.986930807	5.689520883
46	5.375424475	5.691675923
47	5.786203244	5.880047811
48	5.172577052	5.885878582
49	5.258214745	5.575263156
50	5.930440319	5.835896646
51	5.788602972	6.227882104
52	4.970140283	5.769321981
53	5.431854574	5.667831364
54	5.377676089	5.922962814
55	5.975683712	5.86457748
56	5.981561033	6.009482817
57	4.820602794	5.629105718
58	6.169144126	5.818282494
59	5.902736393	6.061689802
60	5.852163083	5.568203628
61	5.604148218	5.600016272
62	6.073088008	5.894991052
63	5.486357195	5.980814998
64	6.385454787	5.639609181
65	5.443553798	5.855296044
66	5.188697773	5.637934111
67	6.287234966	5.540931963
68	5.661638639	5.433211834
69	4.865169407	5.791206721
70	6.201647509	5.829053654
71	5.583449912	5.914782908
72	5.557571997	5.418170984
73	5.692467913	5.929080129
74	5.79554221	5.622566775
75	5.788648422	6.016118248
76	5.608170624	5.753213036
77	5.211394922	5.815754968
78	5.560797616	5.825449505
79	5.858315701	5.44591342
80	5.638240788	6.028204108
81	5.16735857	5.875422914
82	5.434032629	5.850378766
83	5.380218948	5.593923415
84	5.314259707	6.137246567
85	5.760566138	5.421462334
86	4.77426539	5.969447858
87	5.483001602	5.867953873
88	5.869507191	6.033220791
89	5.339214251	5.796583325
90	5.467844519	5.799675193
91	5.857087331	5.692052449
92	5.546091655	5.284793674
93	6.074175839	6.014022896
94	4.965800917	5.741523225
95	6.312687875	5.760758592
96	4.889931383	5.499809611
97	4.650451323	5.512878523
98	4.554748047	5.67953778
99	6.101059057	5.845709662
100	4.765586856	5.870159177
101	5.134286453	5.80736391
102	5.092648234	5.907601985
103	5.175677483	6.109386775
104	5.886761593	5.676493708
105	5.9304461	5.518104785
106	5.485420069	6.215961394
107	6.361947694	5.610344934
108	5.679988846	5.668154708
109	4.720578891	6.076979275
110	5.766397809	5.908188988
111	6.044243822	5.832459891
112	4.780043436	5.643957633
113	4.817752145	5.787828756
114	5.422141833	5.881759458
115	5.218051886	5.743752311
116	5.427760005	5.575482833
117	5.748535601	5.56884471
118	4.475276728	5.48671781
119	5.71882725	5.560058277
120	5.342738092	5.940410245
121	5.311173629	5.703313227
122	5.914467512	5.507665948
123	4.524408965	5.714404593
124	5.369289797	5.880386416
125	4.813124923	6.140208288
126	5.092977953	5.62865492
127	5.630860995	5.485524955
128	5.675247798	5.775954496
129	5.921705171	6.130560648
130	5.962918584	5.724345734
131	5.607457364	6.021427985
132	4.893600149	5.800675073
133	5.563975791	5.734044984
134	5.752045088	5.673495859
135	5.410892533	6.066758768
136	6.121662674	5.752193857
137	6.137320513	5.879029306
138	5.837410873	6.016556706
139	6.008625458	5.874459833
140	5.450618624	5.744260331
141	4.976889943	5.712358606
142	6.33011232	5.827633492
143	5.575711097	5.668374835
144	5.520938362	5.458102275
145	5.880493553	5.718283394
146	5.466921547	5.844492572
147	4.430736429	5.646638642
148	6.573069575	5.485602593
149	5.203901503	5.925578077
150	5.458373586	5.452033427
151	6.035951024	5.764304624
152	5.432153992	5.963509381
153	4.95509603	5.660983883
154	5.165097188	5.83554974
155	5.944226896	5.714924727
156	5.816811244	5.37449171
157	6.072245372	5.329360634
158	4.463870542	6.007776557
159	6.314168618	5.94903377
160	5.654191267	5.743265387
161	5.011502208	5.817575667
162	5.890479398	5.817269149
163	5.615946318	5.681371044
164	5.126509363	5.547639198
165	6.564697836	5.711503905
166	5.254234999	5.560509973
167	4.948912713	5.587746635
168	5.874640154	5.804318267
169	6.881203438	5.798491088
170	5.399057155	5.838297842
171	5.707825139	5.980484696
172	5.646774795	5.663974999
173	5.641471391	5.849321441
174	5.5470836	5.768731163
175	6.262788954	5.547825442
176	5.551318709	5.461297586
177	5.621729348	5.977767559
178	5.155512428	5.674069624
179	5.927050638	5.798137673
180	6.761128506	5.654289661
181	5.939836099	5.926535548
182	4.724866028	5.82128124
183	5.682274748	5.855750209
184	4.750126769	5.61496916
185	5.916758797	6.015894083
186	5.005336831	5.254120707
187	4.516224611	5.868532575
188	5.633097858	5.784602703
189	5.30553652	5.822628476
190	5.9789191	5.88029464
191	5.410612252	5.212741429
192	5.396934717	5.769386156
193	5.119845621	5.781478076
194	4.800492161	5.404221566
195	6.068006676	5.938629936
196	4.943573826	5.574176886
197	5.070131692	6.033305163
198	5.558734982	5.588166469
199	5.711936253	5.964485478
200	5.474290177	5.945643015
201	5.64191653	5.684554014
202	4.89193541	5.611773625
203	6.109859192	5.456421818
204	5.178663289	5.636862201
205	5.131623189	5.78728506
206	5.169247175	5.627699692
207	5.06408413	5.892922178
208	4.852591066	5.552993588
209	6.610733031	5.765371149
210	5.019724637	5.530714596
211	5.080958379	5.394239585
212	5.629884199	6.229881641
213	4.716795501	5.54523935
214	5.479402407	5.809181917
215	6.374718403	5.788438873
216	6.113903725	5.980208023
217	5.792126614	5.602488373
218	5.140142045	5.965494559
219	4.811943	5.632890053
220	4.404719768	5.844654132
221	5.825746334	5.928939212
222	5.4475162	5.926009579
223	5.645126203	6.247351735
224	6.027257739	5.737371788
225	5.623321924	5.776754894
226	5.646253305	5.708517725
227	5.693461255	5.899230673
228	5.229318729	5.781065423
229	5.279813098	5.901319968
230	5.758435926	5.600681139
231	6.0337939	5.763212968
232	5.66545512	5.762527906
233	5.388911635	6.151514619
234	5.866914496	5.476989839
235	5.163835128	5.763611934
236	5.936149392	5.727751299
237	5.663610571	5.858137044
238	5.74235607	5.490939033
239	6.936097774	5.781752953
240	6.229658228	5.617359137
241	6.750568545	5.929632353
242	5.457095578	5.81033483
243	5.405420084	6.034143259
244	5.992098668	5.959836794
245	5.273207366	5.821500694
246	4.801918482	5.608928586
247	6.426825283	5.937876435
248	5.906759994	5.754886535
249	5.6231467	5.800306177
250	5.919769721	5.792023949
251	6.394728168	5.708229609
252	6.118095574	5.94313703
253	5.674497061	5.69521096
254	5.891287348	5.407087473
255	4.841275783	5.510957297
256	5.375188649	5.881115459
257	5.554672907	6.030150916
258	5.668787987	5.84660565
259	4.797096499	5.478609036
260	5.47588674	5.784791191
261	5.645960466	5.582032997
262	4.478585675	5.528967498
263	5.235220371	5.549025928
264	5.446300587	5.507252846
265	4.926787488	5.644838811
266	5.756144841	5.709945294
267	5.258285911	5.438405337
268	5.988086828	5.593927678
269	5.588913392	5.80806468
270	5.441275671	5.521331735
271	5.594272811	6.05470163
272	5.677479677	5.631071822
273	5.782855226	5.427511659
274	5.860740348	5.602767963
275	5.742977831	6.023481825
276	4.984526494	5.956021269
277	6.116020581	5.930912946
278	6.408240644	5.721300765
279	5.480303452	5.997094929
280	5.842355055	5.97739395
281	5.186299839	6.197459331
282	5.675381759	6.042163399
283	5.492350934	5.598288021
284	5.466544185	5.743146685
285	6.900259729	5.895066223
286	5.95816717	5.839337215
287	5.528698906	5.974495058
288	5.304592617	5.650709297
289	5.887343684	5.58558621
290	4.570027129	5.844000709
291	5.383682387	5.946283649
292	5.2619782	5.590287626
293	5.726281598	5.872476227
294	6.097288825	5.604711628
295	5.659154786	5.777474737
296	6.249852787	5.753517983
297	4.242202255	5.507270796
298	6.322135685	5.776486075
299	6.312104588	5.796008887
300	6.539192099	5.703693119
301	5.241502962	5.365217903
302	4.728029053	5.789699943
303	5.487869634	5.531604751
304	6.137562519	5.762926422
305	4.953372485	5.930028625
306	6.173598714	5.645489766
307	5.650317175	5.633711993
308	4.947621548	5.554805985
309	6.084986778	5.63994442
310	5.505009213	5.899175698
311	4.509306703	5.585008182
312	6.141555422	5.671615023
313	4.805251748	5.513391253
314	5.175225963	5.662984094
315	5.786172943	5.577415952
316	5.669984662	5.731163594
317	5.709679058	5.897114003
318	5.493571331	5.976469241
319	5.449574848	5.697889726
320	5.199015728	6.163717833
321	5.859741425	5.718134623
322	5.401348639	5.675622177
323	5.306105653	6.04081145
324	5.363990381	5.736602355
325	5.413455526	5.588376947
326	5.657067035	5.676697453
327	5.673913774	5.81583844
328	5.591160421	5.938964277
329	5.648801148	5.483156969
330	5.767128811	5.865384161
331	5.198249642	5.679774736
332	4.488527264	5.959235204
333	5.953779761	5.944192559
334	4.52696219	5.512862591
